name,street_address_1,street_address_2,city_town,state,zipcode,phone,types,website,source
Community Health Connections: ACTION Community Health Center,130 Water Street,,Fitchburg,MA,01420,(978) 878-8100,"Dental Care, Primary Care",https://www.chcfhc.org,
CHP Lee Family Practice,11 Quarry Hill Road,,Lee,MA,02138,(413) 243-0536,"Eye Care, Primary Care",https://www.chpberkshires.org,
CHA Malden Family Medicine Center,195 Canal Street,,Malden,MA,02148,(781) 338-0500,Primary Care,https://www.challiance.org/location/primary-care-locations.aspx,
CHA Broadway Health Center,300 Broadway,,Somerville,MA,02145,(617) 284-7000,Primary Care,https://www.challiance.org/location/primary-care-locations.aspx,
CHA East Cambridge Health Center,163 Gore Street,,Cambridge,MA,02141,(617) 665-3000,Primary Care,https://www.challiance.org/location/primary-care-locations.aspx,
CHA Cambridge Family Health North,2067 Mass Avenue,,Cambridge,MA,02140,(617) 575-5570,Primary Care,https://www.challiance.org/location/primary-care-locations.aspx,
CHA Cambridge Family Health,237 Hampshire Street,,Cambridge,MA,02139,(617) 575-5570,Primary Care,https://www.challiance.org/location/primary-care-locations.aspx,
"Caring Health Center – Forest Park at the “X” – 532 Sumner Ave, Springfield",532 Sumner Avenue,,Springfield,MA,01108,(413) 739-1100,"Dental Care, Primary Care",https://www.caringhealth.org,
"Caring Health Center: 860 Boston Rd, Springfield",860 Boston Road,,Springfield,MA,01103,(413) 739-1100,Primary Care,https://www.caringhealth.org,
Cambridge Health Alliance Health Centers,1493 Cambridge Street,,Cambridge,MA,02139,(617) 665-2300,Primary Care,https://www.challiance.org/locations/locations.shtml,
Brookside Community Health Center,3297 Washington Street,,Jamaica Plain,MA,02130,(617) 522-4700,"Dental Care, Primary Care",https://www.brighamandwomens.org/brookside,
Brockton Neighborhood Health Center,63 Main Street,,Brockton,MA,02301,(508) 559-6699,"Dental Care, Eye Care, Primary Care",https://www.bnhc.org,
Bowdoin Street Health Center,230 Bowdoin Street,,Boston,MA,02122,(617) 754-0100,"Eye Care, Primary Care",https://www.bidmc.org/locations/bowdoin-street-health-center,
Boston Health Care for the Homeless Program,Jean Yawkey Place,,Boston,MA,02118,(857) 654-1000,"Dental Care, Primary Care",https://www.bhchp.org,
Baystate Mason Square Community Health Center,11 Wilbraham Road,,Springfield,MA,01109,(413) 794-3710,Primary Care,https://www.baystatehealth.org/locations/mason-square-neighborhood-health-center,
Baystate Brightwood Health Center/Centro de Salud,380 Plainfield Street,,Springfield,MA,01107,(413) 794-4458,Primary Care,https://www.baystatehealth.org/locations/brightwood-health-center-centro-de-salud,
CHP Adams Family Dental (ADC),19 Depot St,,Adams,MA,01220,(413) 528-9311,"Dental Care, Primary Care",https://www.chpberkshires.org,
NeighborHealth – East Boston – Gove St,10 Gove Street,,East Boston,MA,02128,(617) 569-5800,Primary Care,https://www.neighborhealth.com/en/,
Duffy Health Center,94 Main Street,,Hyannis,MA,02601,(508) 771-9599,Primary Care,https://www.duffyhealthcenter.org,
DotHouse Health,1353 Dorchester Avenue,,Boston,MA,02122,(617) 288-3230,"Dental Care, Eye Care, Primary Care",https://www.dorchesterhouse.org,
Dimock Community Health Center,55 Dimock Street,,Boston,MA,02119,(617) 442-8800,"Dental Care, Eye Care, Primary Care",https://www.dimock.org,
Community Health Center of Franklin County – Urgent Dental Care Clinic,164 High Street,,Greenfield,MA,01301,(413) 325-8700,Dental Care,https://www.chcfc.org,
Community Health Center of Cape Cod – Mashpee,107 Commercial Street,,Mashpee,MA,02649,(508) 477-7090,"Dental Care, Eye Care, Primary Care",https://www.chcofcapecod.org,
Community Health Center of Cape Cod – Falmouth,210 Jones Road,,Falmouth,MA,02540,(508) 540-2949,"Dental Care, Primary Care",https://www.chcofcapecod.org,
Community Health Center of Cape Cod – Buzzards Bay,123 Waterhouse Road,,Buzzards Bay,MA,02532,(508) 759-7920,Primary Care,https://www.chcofcapecod.org,
Codman Square Health Center,637 Washington Street,,Boston,MA,02124,(617) 825-9660,"Dental Care, Eye Care, Primary Care",https://www.codman.org,
CHP Great Barrington Community Health Center,444 Stockbridge Road,,Great Barrington,MA,01230,(413) 528-8580,"Eye Care, Primary Care",https://www.chpberkshires.org,
CHP Great Barrington Family Dental Center,444 Stockbridge Rd.,,Great Barrington,MA,01230,(413) 528-5565,Dental Care,https://www.chpberkshires.org,
Greater Roslindale Medical & Dental Center,4199 Washington Street,,Roslindale,MA,02131,(617) 323-4440,"Dental Care, Primary Care",https://www.roslindale.org,
Harvard Street Adolescent Child Life Center,895 Blue Hill Avenue,,Boston,MA,02121,(617) 822-5510,Primary Care,https://www.harvardstreet.org,
Harvard Street Neighborhood Health Center,632 Blue Hill Avenue,,Boston,MA,02121,(617) 825-3400,"Dental Care, Primary Care",https://www.harvardstreet.org,
HealthFirst Family Care Center,387 Quarry Street,,Fall River,MA,02723,(508) 679-8111,"Dental Care, Primary Care",https://www.healthfirstfr.org,
Holyoke Health Center,230 Maple Street,,Holyoke,MA,01040,(413) 420-2200,"Dental Care, Primary Care",https://www.hhcinc.org,
Massachusetts League of Community Health Centers – ADMIN ONLY SITE,40 Court Street,,Boston,MA,02108,(617) 426-2225,Administration Only,,
Holyoke Health Dental Clinic – Western Massachusetts Hospital,91 East Mountain Road,,Westfield,MA,01085,(413) 420-6260,Dental Care,https://www.hhcinc.org,
Charles River Community Health – Brighton,495 Western Ave,,Brighton,MA,02135,(617) 783-0500,"Dental Care, Eye Care, Primary Care",https://www.charlesriverhealth.org/,
"Greater Lawrence Family Health Center, Inc.",34 Haverhill Street,,Lawrence,MA,01841,(978) 686-0090,Primary Care,https://www.glfhc.org,
Harbor Health: Geiger Gibson Community Health Center,250 Mount Vernon Street,,Boston,MA,02125,(617) 288-1140,"Dental Care, Primary Care",https://www.hhsi.us,
North Shore Community Health: Gloucester Family Health Center,302 Washington Street,,Gloucester,MA,01930,(978) 282-8899,"Dental Care, Primary Care",https://www.nschi.org,
Edward M Kennedy Community Health Center – Worcester,19 Tacoma Street,,Worcester,MA,01605,(508) 852-1805,"Dental Care, Eye Care, Primary Care",https://www.kennedychc.org/,
Edward M Kennedy Community Health Center – ADMIN ONLY SITE,650 Lincoln Street,,Worcester,MA,01605,(800) 853-2288,Administration Only,https://www.kennedychc.org/,
Haverhill Family Health Center,150 Park Street,,Lawrence,MA,01841,(978) 685-1770,Primary Care,https://www.glfhc.org,
Community Health Connections: Greater Gardner Community Health Center,175 Connors Street,,Gardner,MA,01440,(978) 878-8100,"Dental Care, Primary Care",https://www.chcfhc.org,
New Bedford  Community Health,874 Purchase Street,,New Bedford,MA,02740,(508) 992-6553,"Dental Care, Eye Care, Primary Care",https://www.gnbchc.org,
Greater Lawrence Family Health Center – South site,73D Winthrop Avenue (Plaza 114),,Lawrence,MA,01843,(978) 686-3017,Primary Care,https://www.glfhc.org,
Greater Lawrence Family Health Center – West site,700 Essex Street,,Lawrence,MA,01840,(978) 689-2400,Primary Care,https://www.glfhc.org,
Market Square Family Health Services at Western Avenue,694 Western Avenue,,Lynn,MA,01905,(781) 595-7348,Primary Care,https://www.lchcnet.org,
Market Square Family Health Center,29 Market Square,,Lynn,MA,01905,(781) 596-3500,Primary Care,https://www.lchcnet.org,
Manet Community Health Center at Snug Harbor,9 Bicknell Street,,Quincy,MA,02169,(617) 471-4715,Primary Care,https://www.manetchc.org,
Manet Community Health Center at Hull,180 George Washington Blvd,,Hull,MA,02045,(781) 925-4550,Primary Care,https://www.manetchc.org,
Lowell Community Health Center,161 Jackson Street,,Lowell,MA,01852,(978) 937-9700,Primary Care,https://www.lchealth.org,
Methuen Family Health Center,70 East St,,Methuen,MA,01844,(978) 683-3491,Primary Care,https://www.glfhc.org/,
Lynn Community Health Center,269 Union Street,,Lynn,MA,01901,(781) 581-3900,"Dental Care, Primary Care",https://www.lchcnet.org,
Lynn Community Health Center,280 Union Street,,Lynn,MA,01901,(781) 581-3900,Primary Care,https://www.lchcnet.org,
Manet Community Health Center,110 West Squantum Street,,Quincy,MA,02171,(617) 376-3030,"Eye Care, Primary Care",https://www.manetchc.org,
Manet Community Health Center at Hough’s Neck,1193 Sea Street,,Quincy,MA,02169,(617) 471-8683,Primary Care,https://www.manetchc.org,
Mattapan Community Health Center,1575 Blue Hill Avenue,,Mattapan,MA,02126,(617) 296-0061,"Dental Care, Primary Care",https://www.mattapanchc.org,
MGH Charlestown HealthCare Center,73 High Street,,Charlestown,MA,02129,(617) 724-8135,Primary Care,https://www.massgeneral.org/primarycare/locations/default.aspx,
MGH Chelsea HealthCare Center – 100 Everett Ave,100 Everett Avenue,,Chelsea,MA,02150,(617) 887-4600,Primary Care,https://www.massgeneral.org/primarycare/locations/default.aspx,
MGH Chelsea HealthCare Center – 151 Everett Ave,151 Everett Avenue,,Chelsea,MA,02150,(617) 884-8300,Primary Care,https://www.massgeneral.org/primarycare/locations/default.aspx,
MGH Revere HealthCare Center – Ocean Ave,300 Ocean Avenue,,Revere,MA,02151,(781) 485-6000,Primary Care,https://www.massgeneral.org/primarycare/locations/default.aspx,
MGH Revere HealthCare Center – Broadway,300 Broadway,,Revere,MA,02151,(781) 485-1000,Primary Care,https://www.massgeneral.org/primarycare/locations/default.aspx,
Harbor Community Health Center – Hyannis,30 Elm Avenue,,Hyannis,MA,02601,(508) 778-0300,"Dental Care, Primary Care",https://www.hhsi.us,
CHP Pittsfield Neighborhood Health Center,510 North Street,,Pittsfield,MA,01201,(413) 447-2351,"Eye Care, Primary Care",https://www.chpberkshires.org,
Harbor Health: Daniel Driscoll – Neponset Health Center,398 Neponset Avenue,,Boston,MA,02122,(617) 282-3200,"Eye Care, Primary Care",https://www.hhsi.us,
NEW Health -North End,332 Hanover Street,,Boston,MA,02113,(617) 643-8000,"Dental Care, Eye Care, Primary Care",https://northendwaterfronthealth.org/,
North Shore Community Health: Peabody Family Health Center,89 Foster Street,,Peabody,MA,01960,(978) 532-4903,"Dental Care, Primary Care",https://www.nschi.org,
Outer Cape Health Services – Provincetown,49 Harry Kemp Way,,Provincetown,MA,02657,(508) 487-9395,"Eye Care, Primary Care",https://www.outercape.org,
Harbor Health Plymouth,10 Cordage Park Circle,,Plymouth,MA,02360,(508) 778-5470,"Dental Care, Primary Care",https://www.hhsi.us,
North Shore Community Health: Salem Family Health Center,47 Congress Street,,Salem,MA,01970,(978) 744-8388,"Dental Care, Primary Care",https://www.nschi.org,
Sidney Borum Jr. Health Center,142 Berkeley Street,,Boston,MA,02116,(617) 457-8140,Primary Care,https://www.sidneyborum.org/,
South Boston Community Health Center – 409 W Broadway,409 West Broadway,,Boston,MA,02127,(617) 269-7500,Primary Care,https://www.sbchc.org,
South Boston Community Health Center – 386 W Broadway,386 West Broadway,,Boston,MA,02127,(617) 269-7500,"Dental Care, Eye Care",https://www.sbchc.org,
South Cove Community Health Center – Washington St,885 Washington Street,,Boston,MA,02111,(617) 482-7555,Primary Care,https://www.scchc.org,
South Cove Community Health Center – Hancock St,435 Hancock Street,,Quincy,MA,02171,(617) 745-0280,"Dental Care, Eye Care, Primary Care",https://www.scchc.org,
South Cove Community Health Center – South St,145 South Street,,Boston,MA,02111,(617) 521-6730,"Dental Care, Eye Care",https://www.scchc.org,
Fenway: South End,142 Berkeley Street,,Boston,MA,02116,(617) 247-7555,Primary Care,https://www.fenwayhealth.org,
NeighborHealth – South End,1601 Washington Street,,Boston,MA,02118,(617) 425-2000,"Dental Care, Eye Care, Primary Care",https://www.neighborhealth.com/en/,
Southern Jamaica Plain Health Center,640 Centre Street,,Jamaica Plain,MA,02130,(617) 983-4100,Primary Care,https://www.brighamandwomens.org/sjphc,
The Family HealthCare Center at SSTAR,400 Stanley Street,,Fall River,MA,02720,(508) 675-1054,Primary Care,https://www.sstar.org/site/primaryhealth.asp,
Community Health Center of Franklin County: Greenfield,102 Main Street,,Greenfield,MA,01301,(413) 325-8500,"Dental Care, Primary Care",https://www.chcfc.org,
Upham’s Corner Health Center – 500 Columbia Rd,500 Columbia Road,,Boston,MA,02125,(617) 287-0786,Primary Care,https://uphamscornerhealthcenter.org/,
Upham’s Corner Health Center – 636 Columbia Rd,636 Columbia Road,,Boston,MA,02125,(617) 825-9839,"Dental Care, Eye Care",https://uphamscornerhealthcenter.org/,
Upham’s Corner Health Center – 415 Columbia Rd,415 Columbia Road,,Boston,MA,02125,(617) 287-8000,Primary Care,https://uphamscornerhealthcenter.org/,
Whittier Street Health Center @Quincy Commons,278 Blue Hill Avenue,,Boston,MA,02119,(617) 858-2550,Primary Care,https://www.wshc.org,
CHA Union Square Family Health,26 Central Street,,Somerville,MA,02143,(617) 665-3370,Primary Care,https://www.challiance.org/location/primary-care-locations.aspx,
Outer Cape Health Services – Wellfleet,3130 Route 6,,Wellfleet,MA,02667,(508) 349-3131,,https://www.outercape.org,
Whittier Street Health Center,1290 Tremont Street,,Boston,MA,02120,(617) 427-1000,"Dental Care, Eye Care, Primary Care",https://www.wshc.org,
Hilltown: Worthington Health Center,58 Old North Road,,Worthington,MA,01098,(413) 238-5511,"Dental Care, Primary Care",https://www.hchcweb.org,
Springfield Health Services for the Homeless Health Center,"1145 Main St, Suite 208",,Springfield,MA,01103,(413) 750-2067,"Dental Care, Primary Care",https://www.springfield-ma.gov/hhs/,
Outer Cape- Harwich Port Health Center,710 MA 28,,Harwich,MA,02645,(508) 432-1400,Primary Care,https://www.outercape.org/,
South Cove Community Health Center – Holmes St,88 Holmes Street,,Quincy,MA,02171,(617) 318-3200,"Dental Care, Eye Care, Primary Care",https://www.scchc.org,
Manet Community Health Center,1 Washington Street,,Taunton,MA,02780,(508) 822-5500,Primary Care,https://www.manetchc.org/,
Edward M Kennedy Community Health Center- Milford,42 Cape Road,,Milford,MA,01757,(800) 853-2288,Primary Care,https://www.edwardmkennedychc.org,
Community Health Connections: South Gardner Community Health & Urgent Care Center,529 Timpany Boulevard,,South Gardner,MA,01440,(978) 878-8100,"Dental Care, Primary Care",https://www.chcfhc.org,
"Caring Health Center – Richard E. Neal Complex, 1049 Main St Springfield",1049 Main Street,,Springfield,MA,01103,(413) 739-1100,"Dental Care, Primary Care",https://www.caringhealth.org,
SSTAR South End Services,1010 South Main St,,Fall River,MA,02824,(508) 675-1054,Primary Care,https://www.sstar.org/site/primaryhealth.asp,
"Greater Lawrence Family Health Center, Inc. (Methuen)",401 Griffin Brook Road,,Methuen,MA,01844,(978) 686-0090,Primary Care,https://www.glfhc.org,
NEW Health – Charlestown,15 Tufts Street,,Boston,MA,02129,(857) 238-1100,"Dental Care, Eye Care, Primary Care",https://newhealthcharlestown.org/,
Holyoke Health Dental Clinic – Holyoke Soldiers’ Home,110 Cherry Street,,Westfield,MA,01040,(413) 420-6270,Dental Care,https://www.hhcinc.org,
Brockton Neighborhood Health Center,160 Pleasant St,,Brockton,MA,02301,(508) 559-6699,Primary Care,https://www.bnhc.org,
Community Health Center of Franklin County: Orange,119 New Athol Rd,,Orange,MA,01364,(413) 325-8500,"Dental Care, Primary Care",https://www.chcfc.org,
Community Health Center of Cape Cod – Centerville,1185B Falmouth Road,,Centerville,MA,02632,(508) 759-7920,Primary Care,https://www.chcofcapecod.org,
Harbor Health Services Inc – ADMIN ONLY SITE,1135 Morton Street,,Mattapan,MA,02126,(617) 533-2400,Administration Only,https://www.hhsi.us,
NeighorHealth – Winthrop,17 Main Street,,Winthrop,MA,02152,(617) 568-4840,Primary Care,https://www.neighborhealth.com/en/,
South Boston Health/Seaport,"505 Congress Street, Street Level",,Boston,MA,02210,(617) 269-7500,Primary Care,https://www.sbchc.org,
Hilltown: John P. Musante Health Center,70 Boltwood Walk,,Amherst,MA,01002,(413) 238-5511,Primary Care,https://www.hchcweb.org/,
Outer Cape Health Services – ADMIN ONLY SITE,710 Main Street,,Harwich Port,MA,02646,(508) 905-2800,Administration Only,https://outercape.org/,
CHP Pittsfield Neighborhood Dental Center,"510 North Street, Suite 2",,Pittsfield,MA,01201,(413) 447-2781,Dental Care,https://www.chpberkshires.org,
CHP Berkshire Pediatrics,"777 North Street, Suite 305",,Pittsfield,MA,01201,(413) 499-8531,Primary Care,https://www.chpberkshires.org,
South Cove Community Health Center – Malden,227 Commercial Street,,Malden,MA,02148,(781) 912-2500,"Eye Care, Primary Care",https://www.scchc.org,
CHP Barrington OB/GYN,"East Mountain Medical Building, 780 South Main Street",,Great Barrington,MA,01230,(413) 528-1470,Primary Care,https://www.chpberkshires.org,
Manet Community Health Center at Attleboro,8 North Main St,,Attleboro,MA,02703,(508) 205-4600,Primary Care,https://www.manetchc.org,
Lowell Community Health Center- Dental & Eye Care,101 Jackson Street,,Lowell,MA,01852,(978) 937-9700,"Dental Care, Eye Care",https://www.lchealth.org,
CHP Administration Office,444 Stockbridge Road,,Great Barrington,MA,01230,(413) 528-9311,Administration Only,https://www.chpberkshires.org,
Haverhill Family Health Center,755 Main Street,,Haverhill,MA,01830,(978) 686-0090,Primary Care,https://glfhc.org/,
CHP Great Barrington Family Services,442 Stockbridge Road,,Great Barrington,MA,01230,(413) 528-0457,,https://www.chpberkshires.org,
Fenway Health: Prevention Clinic,359 Green St.,,Cambridge,MA  6172670900,02139,0213961726,,https://fenwayhealth.org/aac/programs-services/access/,
Community Health Center of Franklin County: Turners Falls,8 Burnham St,,Turner Falls,MA,01376,(413)413-8500,Primary Care,https://www.chcfc.org/turners-falls,
"Caring Health Center – 473 Sumner Ave, Springfield",473 Sumner Ave,,Springfield,MA,01108,(413) 739-1100,,https://www.caringhealth.org,
CHP Adams Family Services,19 Depot St.,,Adams,MA,01220,(413) 528-9311,,https://chpberkshires.org/locations/adams-family-services/,
CHP Adams Family Medicine,19 Depot St.,,Adams,MA,01220,(413) 664-4088,Primary Care,https://chpberkshires.org/locations/adams-family-medicine/,
CHA One Cabot Care Center,1 Cabot Rd,,Medford,MA  617-591-6840,02155,617-591-6840,Primary Care,https://www.challiance.org/locations/medford/cha-one-cabot-care-center,
Athol Memorial Hospital,2033 Main Street,,,,,(978) 249-3511,Hospital Services,,official_document
Sturdy Memorial Hospital,211 Park Street,,Attleboro,MA,02703,(508) 222-5200,Hospital Services,,official_document
Beverly Hospital,85 Herrick Street,,Beverly,MA,01915,(978) 922-3000,Hospital Services,,official_document
Beth Israel Deaconess Medical Center,,,,,,(617) 667-7000,,,official_document
Brigham and Women's Hospital,75 Francis Street,,Boston,MA,02115,(617) 732-5500,Hospital Services,,official_document
Massachusetts General Hospital,55 Fruit Street,,Boston,MA,02114,(617) 726-2000,Hospital Services,,official_document
Boston Children's Hospital,300 Longwood Avenue,,Boston,MA,02115,(617) 355-6000,Hospital Services,,official_document
Boston Medical Center,1 Boston Medical Center Place,,Boston,MA,02118,(617) 638-8000,,,official_document
Dana Farber Cancer Institute,44 Binney Street,,Boston,MA,02115,(617) 632-3000,,,official_document
Massachusetts Eye and Ear Infirmary,243 Charles Street,,Boston,MA,02114,(617) 523-7900,Eye Care,,official_document
Shriner's Hospital for Children Boston,51 Blossom Street,,Boston,MA,01608,(978) 578-9078,Hospital Services,,official_document
Tufts Medical Center,800 Washington Street,,Boston,MA,02111,(617) 636-5000,,,official_document
Boston Medical Center - Brighton,736 Cambridge Street,,Boston (Brighton),MA,02135,(617) 789-3000,,,official_document
Brigham and Women's Faulkner Hospital,1153 Centre Street,,Boston (Jamaica Plain),MA,02130,(617) 983-7000,Hospital Services,,official_document
New England Baptist Hospital,125 Parker Hill Avenue,,Boston (Roxbury),MA,02120,(617) 754-5000,Hospital Services,,official_document
Signature Healthcare Brockton Hospital,680 Centre Street,,Brockton,MA,02302,(508) 941-7040,Hospital Services,,official_document
Boston Medical Center - South,235 North Pearl Street,,Brockton,MA,02301,(508) 427-3000,,,official_document
Lahey Hospital & Medical Center,,,,,,(781) 744-5100,Hospital Services,,official_document
Mount Auburn Hospital,330 Mount Auburn Street,,Cambridge,MA,02138,(617) 492-3500,Hospital Services,,official_document
UMass Memorial- Clinton Hospital,201 Highland Street,,,,,(978) 368-3000,Hospital Services,,official_document
Emerson Hospital,133 Old Road to Nine Acre Corner,,,,,(978) 369-1400,Hospital Services,,official_document
CHA Everett Hospital,103 Garland Street,,,,,(617) 389-6270,Hospital Services,,official_document
Charlton Memorial Hospital,363 Highland Avenue,,Fall River,MA,02720,(508) 679-3131,Hospital Services,,official_document
Brown Univeristy Health St. Anne's Hospital,795 Middle Street,,Fall River,MA,02721,(508) 674-5600,Hospital Services,,official_document
Falmouth Hospital,100 Ter Heun Drive,,,,,(508) 548-5300,Hospital Services,,official_document
MetroWest Medical Center - Framingham Union Hospital,115 Lincoln Street,,Framingham,MA,01701,(508) 383-1000,Hospital Services,,official_document
Heywood Hospital,242 Green Street,,,,,(978) 632-3420,Hospital Services,,official_document
Addison Gilbert Hospital,298 Washington Street,,Gloucester,MA,01930,(978) 283-4000,Hospital Services,,official_document
Fairview Hospital,29 Lewis Avenue,,,,,(413) 528-8600,Hospital Services,,official_document
Holyoke Medical Center,575 Beech Street,,Holyoke,MA,01040,(413) 534-2500,,,official_document
Cape Cod Hospital,27 Park Street,,,,,(508) 771-1800,Hospital Services,,official_document
Lawrence General Hospital,1 General Street,,Lawrence,MA,01842,(978) 683-4000,Hospital Services,,official_document
60 Hospital Road,,,,,,(978) 466-2000,Hospital Services,,official_document
Lowell General Hospital,295 Varnum Avenue,,Lowell,MA,01854,(978) 937-6000,Hospital Services,,official_document
One Hospital Drive,,,,,,(978) 458-1411,Hospital Services,,official_document
Northeast Health System- BayRidge Hospital,60 Granite Street,,Lynn,MA,01904,(781) 599-9200,Hospital Services,,official_document
UMass Memorial - Marlborough Hospital,157 Union Street,,Marlborough,MA,01752,(508) 481-5000,Hospital Services,,official_document
Lawrence Memorial Hospital of Medford,170 Governors Ave,,Medford,MA,02155,(781) 306-6000,Hospital Services,,official_document
Melrose-Wakefield Hospital,585 Lebanon Street,,,,,(781) 979-3000,Hospital Services,,official_document
Milford Regional Medical Center,14 Prospect Street,,,,,(508) 473-1190,,,official_document
Beth Israel Deaconess Hospital - Milton,199 Reedsdale Road,,,,,(617) 696-4600,Hospital Services,,official_document
Nantucket Cottage Hospital,57 Prospect Street,,,,,(508) 825-8100,Hospital Services,,official_document
MetroWest Medical Center - Leonard Morse Hospital,67 Union Street,,Natick,MA,01760,(508) 650-7000,Hospital Services,,official_document
Beth Israel Deaconess Hospital - Needham,148 Chestnut Street,,Needham,MA,02492,(781) 453-3000,Hospital Services,,official_document
Southcoast Hospitals Group- St. Lukes Hospital,101 Page Street,,New Bedford,MA,02740,(508) 997-1515,Hospital Services,,official_document
Anna Jaques Hospital,25 Highland Avenue,,,,,(978) 463-1000,Hospital Services,,official_document
Newton-Wellesley Hospital,2014 Washington Street,,Newton,MA,02462,(617) 243-6000,Hospital Services,,official_document
71 Hospital Ave,,,,,,(413) 664-5000,Hospital Services,,official_document
Cooley Dickinson Hospital,30 Locust Street,,Northampton,MA,01061,(413) 582-2000,Hospital Services,,official_document
1 Hospital Rd,,,,,,(508) 693-0410,Hospital Services,,official_document
Baystate Wing Hospital,40 Wright Street,,,,,(413) 283-7651,Hospital Services,,official_document
"Lahey Medical Center, Peabody",1 Essex Center Drive,,Peabody,MA,01960,(978) 538-4000,,,official_document
Berkshire Medical Center,725 North Street,,Pittsfield,MA,01201,(413) 447-2000,,,official_document
Beth Israel Deaconess Hospital - Plymouth,275 Sandwich Street,,,,,(508) 746-2000,Hospital Services,,official_document
Quincy Medical Center,114 Whitwell Street,,Quincy,MA,02169,(617) 773-6100,,,official_document
North Shore Medical Center Salem Hospital,81 Highland Avenue,,Salem,MA,01970,(978) 741-1200,Hospital Services,,official_document
CHA Somerville Hospital,230 Highland Avenue,,Somerville,MA,02143,(617) 591-4500,Hospital Services,,official_document
South Shore Hospital,55 Fogg Road,,South Weymouth,MA,02190,(781) 624-8000,Hospital Services,,official_document
UMass Memorial Health- Harrington Hospital,100 South Street,,,,,(508) 765-9771,Hospital Services,,official_document
Baystate Medical Center,759 Chestnut Street,,Springfield,MA,01199,(413) 794-0000,,,official_document
Mercy Medical Center,271 Carew Street,,Springfield,MA,01102,(413) 886-0410,,,official_document
Brown University Health Morton Hospital,88 Washington Street,,Taunton,MA,02780,(508) 828-7000,Hospital Services,,official_document
Baystate Mary Lane Hospital,85 South Street,,,,,(413) 967-6211,Hospital Services,,official_document
Tobey Hospital,43 High Street,,,,,(508) 295-0880,Hospital Services,,official_document
Baystate Noble Hospital,115 West Silver Street,,Westfield,MA,01086,(413) 568-2811,Hospital Services,,official_document
Winchester Hospital,41 Highland Avenue,,,,,(781) 729-9000,Hospital Services,,official_document
UMass Memorial Medical Center - Memorial Campus,119 Belmont Street,,Worcester,MA,01605,(508) 334-1000,,,official_document
UMass Memorial Medical Center - University Campus,55 Lake Avenue North,,Worcester,MA,01655,(508) 334-1000,,,official_document
Saint Vincent Hospital,123 Summer Street,,Worcester,MA,01608,(508) 363-5000,Hospital Services,,official_document
Charles River Community Health Center - Armington Street,40 Armington Street,,,,,(617) 783-0501,Primary Care,,official_document
Charles River Community Health Center - Athol Street,30 Athol Street,,,,,(617) 783-0502,Primary Care,,official_document
Charles River Community Health - Vision Center,300 Western Avenue,,,,,(617) 783-0500,Eye Care,,official_document
John P Mussante Health Center,,,,,,(413) 835-4980,Primary Care,,official_document
Fenway Health - South End,142 Berkley Street,,Boston,MA,02116,(617) 247-7555,,,official_document
Fenway Health - Ansin Building,1340 Boylston Street,,Boston,MA,02215,(617) 267-0900,,,official_document
Pine Street Inn - Men's Clinic,444 Harrison Avenue,,Boston,MA,02118,(857) 654-1850,,,official_document
Pine Street Inn - Women's Clinic,363 Albany Street,,Boston,MA,02118,(857) 654-1865,,,official_document
Boston Health Care for the Homeless Program,780 Albany Street,,Boston,MA,02118,(857) 654-1000,,,official_document
South End Community Health Center,1601 Washington Street,,Boston (South End),MA,02118,(617) 425-2000,Primary Care,,official_document
South End Associates-- Of Fenway CHC,"142 Berkley Street, 2nd Floor",,Boston (South End),MA,02116,(617) 247-7555,,,official_document
Charles River Community Health Center,495 Western Avenue,,,,,(617) 783-0500,Primary Care,,official_document
North End Waterfront Health - Charlestown,15 Tufts Street,,Charlestown,MA,02129,(857) 238-1100,,,official_document
Chicopee Health Center,505 Front Street,,Chicopee,MA,01013,(413) 420-2222,Primary Care,,official_document
Holyoke Health Center - Chicopee Dental Center,601 Memorial Drive,,Chicopee,MA,01020,(413) 420-2839,"Dental Care, Primary Care",,official_document
Edward M. Kennedy CHC at Clinton,200 High Street,,Clinton,MA,01510,(978) 368-0340,,,official_document
Upham's Corner Health Center Dental and Eye Care Services,636 Columbia Road,,,,,(617) 825-9839,"Dental Care, Eye Care, Primary Care",,official_document
Upham's Corner Health Center Primary Care Services,415 Columbia Road,,,,,(617) 825-9839,"Primary Care, Primary Care",,official_document
Neponset Health Center,398 Neponset Avenue,,,,,(617) 282-3200,Primary Care,,official_document
