name,street_address_1,street_address_2,city_town,state,zipcode,phone,types,website,source,latitude,longitude
Community Health Connections: ACTION Community Health Center,130 Water Street,,Fitchburg,MA,1420.0,(978) 878-8100,"Dental Care, Primary Care",https://www.chcfhc.org,,42.580639,-71.7939413
CHA Malden Family Medicine Center,195 Canal Street,,Malden,MA,2148.0,(781) 338-0500,Primary Care,https://www.challiance.org/location/primary-care-locations.aspx,,42.4198602,-71.0727699
CHA Broadway Health Center,300 Broadway,,Somerville,MA,2145.0,(617) 284-7000,Primary Care,https://www.challiance.org/location/primary-care-locations.aspx,,42.3921363,-71.09299960000001
CHA East Cambridge Health Center,163 Gore Street,,Cambridge,MA,2141.0,(617) 665-3000,Primary Care,https://www.challiance.org/location/primary-care-locations.aspx,,42.3730593,-71.0854052
CHA Cambridge Family Health North,2067 Mass Avenue,,Cambridge,MA,2140.0,(617) 575-5570,Primary Care,https://www.challiance.org/location/primary-care-locations.aspx,,42.3916166,-71.12299399999999
CHA Cambridge Family Health,237 Hampshire Street,,Cambridge,MA,2139.0,(617) 575-5570,Primary Care,https://www.challiance.org/location/primary-care-locations.aspx,,42.3740234,-71.1007987
"Caring Health Center – Forest Park at the “X” – 532 Sumner Ave, Springfield",532 Sumner Avenue,,Springfield,MA,1108.0,(413) 739-1100,"Dental Care, Primary Care",https://www.caringhealth.org,,42.0866136,-72.5571298
"Caring Health Center: 860 Boston Rd, Springfield",860 Boston Road,,Springfield,MA,1103.0,(413) 739-1100,Primary Care,https://www.caringhealth.org,,42.13768169999999,-72.5159997
Cambridge Health Alliance Health Centers,1493 Cambridge Street,,Cambridge,MA,2139.0,(617) 665-2300,Primary Care,https://www.challiance.org/locations/locations.shtml,,42.37450550000001,-71.1041772
Brookside Community Health Center,3297 Washington Street,,Jamaica Plain,MA,2130.0,(617) 522-4700,"Dental Care, Primary Care",https://www.brighamandwomens.org/brookside,,42.3108697,-71.103909
Brockton Neighborhood Health Center,63 Main Street,,Brockton,MA,2301.0,(508) 559-6699,"Dental Care, Eye Care, Primary Care",https://www.bnhc.org,,42.0845166,-71.0201542
Bowdoin Street Health Center,230 Bowdoin Street,,Boston,MA,2122.0,(617) 754-0100,"Eye Care, Primary Care",https://www.bidmc.org/locations/bowdoin-street-health-center,,42.3058687,-71.06783709999999
Boston Health Care for the Homeless Program,Jean Yawkey Place,,Boston,MA,2118.0,(857) 654-1000,"Dental Care, Primary Care",https://www.bhchp.org,,42.3334901,-71.07304719999999
Baystate Mason Square Community Health Center,11 Wilbraham Road,,Springfield,MA,1109.0,(413) 794-3710,Primary Care,https://www.baystatehealth.org/locations/mason-square-neighborhood-health-center,,42.111011,-72.5632757
Baystate Brightwood Health Center/Centro de Salud,380 Plainfield Street,,Springfield,MA,1107.0,(413) 794-4458,Primary Care,https://www.baystatehealth.org/locations/brightwood-health-center-centro-de-salud,,42.1172344,-72.6144242
CHP Adams Family Dental (ADC),19 Depot St,,Adams,MA,1220.0,(413) 528-9311,"Dental Care, Primary Care",https://www.chpberkshires.org,,42.6236477,-73.1184595
NeighborHealth – East Boston – Gove St,10 Gove Street,,East Boston,MA,2128.0,(617) 569-5800,Primary Care,https://www.neighborhealth.com/en/,,42.3723523,-71.0383533
Duffy Health Center,94 Main Street,,Hyannis,MA,2601.0,(508) 771-9599,Primary Care,https://www.duffyhealthcenter.org,,41.65629819999999,-70.27444489999999
DotHouse Health,1353 Dorchester Avenue,,Boston,MA,2122.0,(617) 288-3230,"Dental Care, Eye Care, Primary Care",https://www.dorchesterhouse.org,,42.3045382,-71.0599737
Dimock Community Health Center,55 Dimock Street,,Boston,MA,2119.0,(617) 442-8800,"Dental Care, Eye Care, Primary Care",https://www.dimock.org,,42.3197954,-71.0976434
Community Health Center of Franklin County – Urgent Dental Care Clinic,164 High Street,,Greenfield,MA,1301.0,(413) 325-8700,Dental Care,https://www.chcfc.org,,42.5962034,-72.5923856
Community Health Center of Cape Cod – Mashpee,107 Commercial Street,,Mashpee,MA,2649.0,(508) 477-7090,"Dental Care, Eye Care, Primary Care",https://www.chcofcapecod.org,,41.6073704,-70.4908473
Community Health Center of Cape Cod – Falmouth,210 Jones Road,,Falmouth,MA,2540.0,(508) 540-2949,"Dental Care, Primary Care",https://www.chcofcapecod.org,,41.56149569999999,-70.6116109
Community Health Center of Cape Cod – Buzzards Bay,123 Waterhouse Road,,Buzzards Bay,MA,2532.0,(508) 759-7920,Primary Care,https://www.chcofcapecod.org,,41.728441,-70.58510369999999
Codman Square Health Center,637 Washington Street,,Boston,MA,2124.0,(617) 825-9660,"Dental Care, Eye Care, Primary Care",https://www.codman.org,,42.3521584,-71.0627852
CHP Great Barrington Community Health Center,444 Stockbridge Road,,Great Barrington,MA,1230.0,(413) 528-8580,"Eye Care, Primary Care",https://www.chpberkshires.org,,42.2194127,-73.3426899
CHP Great Barrington Family Dental Center,444 Stockbridge Rd.,,Great Barrington,MA,1230.0,(413) 528-5565,Dental Care,https://www.chpberkshires.org,,42.2194127,-73.3426899
Greater Roslindale Medical & Dental Center,4199 Washington Street,,Roslindale,MA,2131.0,(617) 323-4440,"Dental Care, Primary Care",https://www.roslindale.org,,42.287181,-71.1280522
