name,street_address_1,street_address_2,city_town,state,zipcode,phone,types,website,source
CHP Adams Internists,19 Depot Street,,Adams,MA,01220,(413) 743-1080,,,docx_scraped
Charles River Community Health Center - Armington Street,40 Armington Street,,Allston,MA,02134,(617) 783-0501,,,docx_scraped
Charles River Community Health Center - Athol Street,30 Athol Street,,Allston,MA,02134,(617) 783-0502,,,docx_scraped
Charles River Community Health - Vision Center,300 Western Avenue,,Allston,MA,02134,(617) 783-0500,,,docx_scraped
John P Mussante Health Center,70 Boltwood Walk,,Amherst,MA,01002,(413) 835-4980,,,docx_scraped
Manet Community Health Center at Attleboro,8 North Main Street,,Attleboro,MA,02703,(508) 205-4600,,,docx_scraped
Fenway Health - South End,142 Berkley Street,,Boston,MA,02116,(617) 247-7555,,,docx_scraped
Fenway Health - Ansin Building,1340 Boylston Street,,Boston,MA,02215,(617) 267-0900,,,docx_scraped
Pine Street Inn - Men's Clinic,444 Harrison Avenue,,Boston,MA,02118,(857) 654-1850,,,docx_scraped
Pine Street Inn - Women's Clinic,363 Albany Street,,Boston,MA,02118,(857) 654-1865,,,docx_scraped
South Cove Community Health Center,885 Washington Street,,Boston,MA,02111,(617) 482-7555,,,docx_scraped
South Cove Community Health Center - South Street Clinic,145 South Street,,Boston,MA,02111,(617) 521-6713,,,docx_scraped
The Barbara McInnis House Medical Respite Care Program,Jean Yawkey Place,,Boston,MA,02118,(857) 564-1000,,,docx_scraped
North End Waterfront Health,332 Hanover Street,,Boston,MA,02113,(617) 643-8000,,,docx_scraped
Boston Health Care for the Homeless Program,780 Albany Street,,Boston,MA,02118,(857) 654-1000,,,docx_scraped
South End Community Health Center,1601 Washington Street,,Boston (South End),MA,02118,(617) 425-2000,,,docx_scraped
South End Associates-- Of Fenway CHC,142 Berkley Street,,"2nd Floor, Boston (South End)",MA,02116,(617) 247-7555,,,docx_scraped
Charles River Community Health Center,495 Western Avenue,,Brighton,MA,02135,(617) 783-0500,,,docx_scraped
Brockton Neighborhood Health Center,63 Main Street,,Brockton,MA,02301,(508) 559-6699,,,docx_scraped
North End Waterfront Health - Charlestown,15 Tufts Street,,Charlestown,MA,02129,(857) 238-1100,,,docx_scraped
Chicopee Health Center,505 Front Street,,Chicopee,MA,01013,(413) 420-2222,,,docx_scraped
Holyoke Health Center - Chicopee Dental Center,601 Memorial Drive,,Chicopee,MA,01020,(413) 420-2839,,,docx_scraped
Edward M. Kennedy CHC at Clinton,200 High Street,,Clinton,MA,01510,(978) 368-0340,,,docx_scraped
Upham's Corner Health Center Dental and Eye Care Services,636 Columbia Road,,Dorchester,MA,02125,(617) 825-9839,,,docx_scraped
Upham's Corner Health Center Primary Care Services,415 Columbia Road,,Dorchester,MA,02125,(617) 825-9839,,,docx_scraped
Neponset Health Center,398 Neponset Avenue,,Dorchester,MA,02122,(617) 282-3200,,,docx_scraped
Geiger Gibson Community Health Center,250 Mount Vernon Street,,Dorchester,MA,02125,(617) 288-1140,,,docx_scraped
Harvard Street Neighborhood Health Center,632 Blue Hill Avenue,,Dorchester,MA,02121,(617) 825-3400,,,docx_scraped
Harvard Street Neighborhood Health Center - Behavioral Health,895 Blue Hill Avenue,,Dorchester,MA,02121,(617) 822-7129,,,docx_scraped
HealthFirst Family Care Center,387 Quarry Street,,"Suite 100, Fall River",MA,02723,(508) 679-8111,,,docx_scraped
SSTAR South End Services,1010 South Main Street,,Fall River,MA,02724,(508) 675-1054,,,docx_scraped
Stanley Street Treatment and Resources (SSTAR),386 Stanley Street,,Fall River,MA,02720,(508) 679-5222,,,docx_scraped
Community Health Connections Family Health Center - Fitchburg Community Health Center,326 Nichols Road,,Fitchburg,MA,01420,(978) 878-8100,,,docx_scraped
Action Community Health Center,130 Water Street,,"Suite 4, Fitchburg",MA,01420,(978) 878-8100,,,docx_scraped
Edward M. Kennedy Community Health Center - Framingham Street - Waverley Street,354 Waverley Street,,Framingham,MA,01702,(508) 270-5700,,,docx_scraped
Edward M. Kennedy Community Health Center - Framingham Community Health Center - Concord Street,19 Concord Street,,Framingham,MA,01702,(508) 270-2635,,,docx_scraped
Greater Gardner Community Health Center,175 Connors Street,,Gardner,MA,01440,(978) 410-6100,,,docx_scraped
South Gardner Community Health & Urgent Care Center,529 Timpany Boulevard,,Gardner,MA,01440,(978) 878-8100,,,docx_scraped
Gloucester Family Health Center,302 Washington Street,,Gloucester,MA,01930,(978) 282-8899,,,docx_scraped
CHP Barrington OB/GYN,780 Main Street,,Great Barrington,MA,01230,(413) 528-1470,,,docx_scraped
CHP Dental Center,343 Main Street,,Great Barrington,MA,01230,(413) 528-5565,,,docx_scraped
CHP (Community Health Programs) Health Center,444 Stockbridge Road,,Great Barrington,MA,01230,(413) 528-8580,,,docx_scraped
Community Health Center of Franklin County,102 Main Street,,Greenfield,MA,01301,(413) 325-8500,,,docx_scraped
Ellen Jones Community Dental Center,351 Pleasant Lake Avenue,,Harwich,MA,02645,(508) 778-5400,,,docx_scraped
Holyoke Health Center,230 Maple Street,,Holyoke,MA,01040,(413) 420-2222,,,docx_scraped
Holyoke Health Center Dental Clinic at Holyoke Soldiers Home,110 Cherry Street,,Holyoke,MA,01040,(413) 532-9475,,,docx_scraped
River Valley Counseling Center,303 Beech Street,,Holyoke,MA,01040,(413) 540-1234,,,docx_scraped
Manet Community Health Center - Hull,180 George Washington Boulevard,,Hull,MA,02045,(781) 925-4550,,,docx_scraped
Hilltown Community Health Center- Huntington,73 Russell Road,,Huntington,MA,01050,(413) 667-3009,,,docx_scraped
Duffy Health Center,94 Main Street,,Hyannis,MA,02601,(508) 771-9599,,,docx_scraped
Duffy Health Center at Lewis Bay Road,3 Lewis Bay Road,,Hyannis,MA,02601,(508) 771-9599,,,docx_scraped
Duffy Mobile Health Clinic,105 Park Street,,Hyannis,MA,02601,(508) 771-9599,,,docx_scraped
Harbor Community Health Center - Hyannis,735 Attucks Lane,,Hyannis,MA,02601,(508) 778-5420,,,docx_scraped
Greater Lawrence Family Health Center - Park Street,150 Park Street,,Lawrence,MA,01841,(978) 685-1770,,,docx_scraped
Greater Lawrence Family Health Center,34 Haverhill Street,,Lawrence,MA,01841,(978) 686-0090,,,docx_scraped
Greater Lawrence Family Health Center - Winthrop Avenue,73D Winthrop Avenue,,Lawrence,MA,01841,(978) 686-3017,,,docx_scraped
Greater Lawrence Family Health Center - Lawrence General Hospital,1 General Street,,"Lamprey Building, 4th floor, Lawrence",MA,01841,(978) 686-3017,,,docx_scraped
Greater Lawrence Family Health Center - Essex Street,700 Essex Street,,Lawrence,MA,01841,(978) 689-2400,,,docx_scraped
CHP Lee Family Practice,11 Quarry Hill Road,,Lee,MA,01238,(413) 243-0536,,,docx_scraped
Leominster Community Health and Urgent Care Center,165 Mill Street,,Leominster,MA,01453,(978) 410-6111,,,docx_scraped
Lowell Community Health Center--Metta Health Center,135 Jackson Street,,Lowell,MA,01852,(978) 937-9700,,,docx_scraped
Lowell Community Health Center,161 Jackson Street,,Lowell,MA,01852,(978) 937-9700,,,docx_scraped
Lynn Community Health Center,269 Union Street,,Lynn,MA,01901,(781) 581-3900,,,docx_scraped
Lynn Community Health Center  - Market Square Family Health Services at Western Avenue,694 Western Avenue,,Lynn,MA,01905,(781) 595-7348,,,docx_scraped
Market Square Family Health,29 Market Square,,Lynn,MA,01905,(781) 596-3500,,,docx_scraped
Lynn Community Health Center - Buffum Street,73 Buffum Street,,"2nd Floor Suite A, Lynn",MA,01901,(781) 691-9486,,,docx_scraped
Lynn Community Health Center Behavioral Health Center,280 Union Street,,Lynn,MA,01901,(781) 780-4984,,,docx_scraped
South Cove Community Health Center - Malden,277 Commercial Street,,Malden,MA,02148,(781) 912-2500,,,docx_scraped
Island Health Care,245 Vineyard Haven Road,,Martha's Vineyard (Edgartown),MA,02539,(508) 939-9358,,,docx_scraped
Community Health Center of Cape Cod,107 Commercial Street,,Mashpee,MA,02649,(508) 477-7090,,,docx_scraped
Harbor Health Services,1135 Morton Street,,Mattapan,MA,02126,(617) 533-2300,,,docx_scraped
Mattapan Community Health Center,1575 Blue Hill Avenue,,Mattapan,MA,02126,(617) 296-0061,,,docx_scraped
Edward M. Kennedy Community Health Center - Milford,42 Cape Road,,"Suite 107, Milford",MA,01757,(800) 853-2288,,,docx_scraped
Greater New Bedford Community Health Center,874 Purchase Street,,New Bedford,MA,02740,(508) 992-6553,,,docx_scraped
CHP North Adams Family Medicine,71 Hospital Avenue,,North Adams,MA,01247,(413) 664-4088,,,docx_scraped
Peabody Family Health Center,89 Foster Street,,Peabody,MA,01960,(978) 532-4903,,,docx_scraped
CHP Berkshire Pediatrics,777 North Street,,Pittsfield,MA,01201,(413) 499-8531,,,docx_scraped
CHP Neighborhood Health Center,510 North Street,,Pittsfield,MA,01201,(413) 447-2351,,,docx_scraped
Harbor Community Health Center - Plymouth,10 Cordage Park Circle,,Plymouth,MA,02360,(508) 778-4570,,,docx_scraped
Provincetown Health Center,49 Harry Kemp Way,,Provincetown,MA,02657,(508) 487-9395,,,docx_scraped
South Cove Community Health Center - at Quincy,435 Hancock Street,,Quincy,MA,02171,(617) 318-3200,,,docx_scraped
