name,street_address_1,street_address_2,city_town,state,zipcode,phone,types,website,source,latitude,longitude
CHP Adams Internists,19 Depot Street,,Adams,MA,1220,(413) 743-1080,,,docx_scraped,42.6236477,-73.1184595
Charles River Community Health Center - Armington Street,40 Armington Street,,Allston,MA,2134,(617) 783-0501,,,docx_scraped,42.3521015,-71.1374728
Charles River Community Health Center - Athol Street,30 Athol Street,,Allston,MA,2134,(617) 783-0502,,,docx_scraped,42.3607846,-71.13396949999999
Charles River Community Health - Vision Center,300 Western Avenue,,Allston,MA,2134,(617) 783-0500,,,docx_scraped,42.3629314,-71.1350587
John P Mussante Health Center,70 Boltwood Walk,,Amherst,MA,1002,(413) 835-4980,,,docx_scraped,42.3769044,-72.5183937
Manet Community Health Center at Attleboro,8 North Main Street,,Attleboro,MA,2703,(508) 205-4600,,,docx_scraped,41.9445632,-71.2844506
Fenway Health - South End,142 Berkley Street,,Boston,MA,2116,(617) 247-7555,,,docx_scraped,42.3489118,-71.0720886
Fenway Health - Ansin Building,1340 Boylston Street,,Boston,MA,2215,(617) 267-0900,,,docx_scraped,42.3441103,-71.0989696
Pine Street Inn - Men's Clinic,444 Harrison Avenue,,Boston,MA,2118,(857) 654-1850,,,docx_scraped,42.34315900000001,-71.0644712
Pine Street Inn - Women's Clinic,363 Albany Street,,Boston,MA,2118,(857) 654-1865,,,docx_scraped,42.34260099999999,-71.06286210000002
South Cove Community Health Center,885 Washington Street,,Boston,MA,2111,(617) 482-7555,,,docx_scraped,42.3479563,-71.0647414
South Cove Community Health Center - South Street Clinic,145 South Street,,Boston,MA,2111,(617) 521-6713,,,docx_scraped,42.3509176,-71.05762310000001
The Barbara McInnis House Medical Respite Care Program,Jean Yawkey Place,,Boston,MA,2118,(857) 564-1000,,,docx_scraped,42.3334901,-71.07304719999999
North End Waterfront Health,332 Hanover Street,,Boston,MA,2113,(617) 643-8000,,,docx_scraped,42.3648007,-71.0537232
Boston Health Care for the Homeless Program,780 Albany Street,,Boston,MA,2118,(857) 654-1000,,,docx_scraped,42.3336166,-71.07280709999999
South End Community Health Center,1601 Washington Street,,Boston (South End),MA,2118,(617) 425-2000,,,docx_scraped,42.3383369,-71.0747099
South End Associates-- Of Fenway CHC,142 Berkley Street,,"2nd Floor, Boston (South End)",MA,2116,(617) 247-7555,,,docx_scraped,42.3489118,-71.0720886
Charles River Community Health Center,495 Western Avenue,,Brighton,MA,2135,(617) 783-0500,,,docx_scraped,42.361858,-71.144012
Brockton Neighborhood Health Center,63 Main Street,,Brockton,MA,2301,(508) 559-6699,,,docx_scraped,42.0845166,-71.0201542
North End Waterfront Health - Charlestown,15 Tufts Street,,Charlestown,MA,2129,(857) 238-1100,,,docx_scraped,42.3778685,-71.05678759999999
Chicopee Health Center,505 Front Street,,Chicopee,MA,1013,(413) 420-2222,,,docx_scraped,42.1487126,-72.59757809999999
Holyoke Health Center - Chicopee Dental Center,601 Memorial Drive,,Chicopee,MA,1020,(413) 420-2839,,,docx_scraped,42.174291,-72.57570559999999
Edward M. Kennedy CHC at Clinton,200 High Street,,Clinton,MA,1510,(978) 368-0340,,,docx_scraped,42.4189402,-71.6847916
Upham's Corner Health Center Dental and Eye Care Services,636 Columbia Road,,Dorchester,MA,2125,(617) 825-9839,,,docx_scraped,42.3184597,-71.064123
Upham's Corner Health Center Primary Care Services,415 Columbia Road,,Dorchester,MA,2125,(617) 825-9839,,,docx_scraped,42.3118214,-71.06876129999999
Neponset Health Center,398 Neponset Avenue,,Dorchester,MA,2122,(617) 282-3200,,,docx_scraped,42.28679500000001,-71.044066
Geiger Gibson Community Health Center,250 Mount Vernon Street,,Dorchester,MA,2125,(617) 288-1140,,,docx_scraped,42.3194686,-71.04611229999999
Harvard Street Neighborhood Health Center,632 Blue Hill Avenue,,Dorchester,MA,2121,(617) 825-3400,,,docx_scraped,42.30249939999999,-71.08510749999999
Harvard Street Neighborhood Health Center - Behavioral Health,895 Blue Hill Avenue,,Dorchester,MA,2121,(617) 822-7129,,,docx_scraped,42.2941665,-71.0885429
HealthFirst Family Care Center,387 Quarry Street,,"Suite 100, Fall River",MA,2723,(508) 679-8111,,,docx_scraped,41.693479,-71.14024669999999
SSTAR South End Services,1010 South Main Street,,Fall River,MA,2724,(508) 675-1054,,,docx_scraped,41.6907377,-71.16515849999999
Stanley Street Treatment and Resources (SSTAR),386 Stanley Street,,Fall River,MA,2720,(508) 679-5222,,,docx_scraped,41.7151478,-71.1363484
Community Health Connections Family Health Center - Fitchburg Community Health Center,326 Nichols Road,,Fitchburg,MA,1420,(978) 878-8100,,,docx_scraped,42.5973818,-71.8077019
Action Community Health Center,130 Water Street,,"Suite 4, Fitchburg",MA,1420,(978) 878-8100,,,docx_scraped,42.5796585,-71.7922439
Edward M. Kennedy Community Health Center - Framingham Street - Waverley Street,354 Waverley Street,,Framingham,MA,1702,(508) 270-5700,,,docx_scraped,42.276897,-71.4138412
Edward M. Kennedy Community Health Center - Framingham Community Health Center - Concord Street,19 Concord Street,,Framingham,MA,1702,(508) 270-2635,,,docx_scraped,42.2772643,-71.4166307
Greater Gardner Community Health Center,175 Connors Street,,Gardner,MA,1440,(978) 410-6100,,,docx_scraped,42.5601384,-71.78269929999999
South Gardner Community Health & Urgent Care Center,529 Timpany Boulevard,,Gardner,MA,1440,(978) 878-8100,,,docx_scraped,42.5533045,-71.9938657
Gloucester Family Health Center,302 Washington Street,,Gloucester,MA,1930,(978) 282-8899,,,docx_scraped,42.6264427,-70.6806269
CHP Barrington OB/GYN,780 Main Street,,Great Barrington,MA,1230,(413) 528-1470,,,docx_scraped,42.189935,-73.36504359999999
CHP Dental Center,343 Main Street,,Great Barrington,MA,1230,(413) 528-5565,,,docx_scraped,42.1930232,-73.36282270000001
CHP (Community Health Programs) Health Center,444 Stockbridge Road,,Great Barrington,MA,1230,(413) 528-8580,,,docx_scraped,42.2194127,-73.3426899
Community Health Center of Franklin County,102 Main Street,,Greenfield,MA,1301,(413) 325-8500,,,docx_scraped,42.5878394,-72.6054085
Ellen Jones Community Dental Center,351 Pleasant Lake Avenue,,Harwich,MA,2645,(508) 778-5400,,,docx_scraped,41.7107571,-70.0754669
Holyoke Health Center,230 Maple Street,,Holyoke,MA,1040,(413) 420-2222,,,docx_scraped,42.2071888,-72.6083931
Holyoke Health Center Dental Clinic at Holyoke Soldiers Home,110 Cherry Street,,Holyoke,MA,1040,(413) 532-9475,,,docx_scraped,42.1994005,-72.6395091
River Valley Counseling Center,303 Beech Street,,Holyoke,MA,1040,(413) 540-1234,,,docx_scraped,42.2041133,-72.61910379999999
Manet Community Health Center - Hull,180 George Washington Boulevard,,Hull,MA,2045,(781) 925-4550,,,docx_scraped,42.2630668,-70.8605871
Hilltown Community Health Center- Huntington,73 Russell Road,,Huntington,MA,1050,(413) 667-3009,,,docx_scraped,42.2244087,-72.8709788
Duffy Health Center,94 Main Street,,Hyannis,MA,2601,(508) 771-9599,,,docx_scraped,41.65629819999999,-70.27444489999999
Duffy Health Center at Lewis Bay Road,3 Lewis Bay Road,,Hyannis,MA,2601,(508) 771-9599,,,docx_scraped,41.65511739999999,-70.2755141
Duffy Mobile Health Clinic,105 Park Street,,Hyannis,MA,2601,(508) 771-9599,,,docx_scraped,41.65502619999999,-70.2748785
Harbor Community Health Center - Hyannis,735 Attucks Lane,,Hyannis,MA,2601,(508) 778-5420,,,docx_scraped,41.6747364,-70.29770289999999
Greater Lawrence Family Health Center - Park Street,150 Park Street,,Lawrence,MA,1841,(978) 685-1770,,,docx_scraped,42.715907,-71.1662496
Greater Lawrence Family Health Center,34 Haverhill Street,,Lawrence,MA,1841,(978) 686-0090,,,docx_scraped,42.71185819999999,-71.1519933
Greater Lawrence Family Health Center - Winthrop Avenue,73D Winthrop Avenue,,Lawrence,MA,1841,(978) 686-3017,,,docx_scraped,42.6895562,-71.1507507
